211.-los-arvoles-ya-empesaron-a-verter.jpeg,211-Los-arvoles-ya-empesaron.ogg,"Los arvoles ya empesaron a verter sus ojas."
119.-a-moshe-le-plaze-irse-a-konsertos-de-muzika-klasika.jpeg,119.-a-moshe-le-plaze-irse-a-konsertos-de-muzika-klasika.ogg,"A Moshe le plaze irse a konsertos de muzika klasika."
254-alhad-la-noche-asendimos.jpeg,254-Alhad-la-noche.ogg,"Alhad la noche ASENDIMOS la primera kandela de Hanuka."
102-les-plaze-deskansar-en-el-aver-limpio.jpeg,102-les-plaze-deskansar-en-el-aver-limpio.ogg,"Les plaze deskansar en el aver limpio entre las flores."
261-la-semana-pasada-tuve-muncho-echo.jpeg,261-la-semana-pasada-tuve.ogg,"La semana pasada, TUVE muncho echo. Me KANSI muncho."
83-un-shastre.jpeg,83-un-shastre.ogg,"Un shastre kuze vistidos para ombres."
41-todos-empesan-a-azer-dieta.jpeg,41-todos-empesan-a-azer-dieta.ogg,"Despues de Pesah todos empesan a azer dieta!"
123.-moshe-trava-fotos-en-su-tiempo-libre.jpeg,123.-moshe-trava-fotos-en-su-tiempo-libre.ogg,"Moshe trava fotos en su tiempo libre."
110-despues-de-senar-sara-prepara-su-lavoro.jpeg,110-despues-de-senar-sara-prepara-su-lavoro.ogg,"Despues de senar, Sara prepara su lavoro para el dia sigiente."
65-la-klasa-entera-vamos-a-selebrar.jpeg,65-la-klasa-entera-vamos-a-selebrar.ogg,"La klasa entera vamos a selebrar endjuntos en el Bosfor."
148-sara-i-moshe-nadan-muncho.jpeg,148-sara-i-moshe-nadan-muncho.ogg,"Sara i Moshe nadan muncho i se kedan en la agua oras enteras."
54-las-madres-estan-yamando-a-los-chikos.jpeg,54-las-madres-estan-yamando-a-los-chikos.ogg,"Las madres estan yamando a los chikos porke es ora de komer."
161-sara-i-rudi-estan-muy-kansados.jpeg,161-sara-i-rudi-estan-muy-kansados.ogg,"uy kansados porke eyos entero."
297-a-mediodia-del-16-de-febrero-tenemos-una-komida-muy-savroza.jpeg,297-a-mediodia-del-16.ogg,"A mediodia del 16 de Febrero, tenemos una komida muy savroza sefardi. El anyo pasado todos se aviyan enamorado"
307-el-teatro-es-komo-un-virus.jpeg,307-el-teatro-es-komo.ogg,"El teatro es komo un virus. Kuando entra en la sangre no se va kolay kolay."
191.-todas-las-fiestas-son-buenas-okazyones.jpeg,191.-todas-las-fiestas-son-buenas-okazyones.ogg,"Todas las fiestas son buenas okazyones para arekojer la famiya entera al torno de una meza."
156-sara-les-merko-un-ermozo-vazo.jpeg,156-sara-les-merko-un-ermozo-vazo.ogg,"OZO VaZO para SUS kaza."
73-los-kebapes-i-las-baklavas.jpeg,73-los-kebapes-i-las-baklavas.ogg,"Los kebapes i las baklavas son unas de las komidas muy savrozas ke puedes topar."
292-todos-devemos-estar-preparados-para-un-terremoto.jpeg,292-todos-devemos.ogg,"Todos devemos estar preparados para un terremoto."
82-una-nikochera.jpeg,82-una-nikochera.ogg,"Una nikochera es una mujer de kaza kumplida."
1.06.-esto-muy-kansada.jpeg,1.06.-esto-muy-kansada.ogg,"Esto muy kansada."
7.-mi-padre-es-doktor.jpeg,2.07.-mi-padre-es-doktor.ogg,"Mi padre es doktor."
167-los-kinze-dias-de-vakansas-pasaron-muy-presto.jpeg,167-los-kinze-dias-de-vakansas-pasaron-muy-presto.ogg,"Los kinze dias de vakansas pasan muy presto i ya vino el tiempo de tornar a kaza."
76-veni-a-ver-Estambol.jpeg,76-veni-a-ver-Estambol.ogg,"Veni a ver Estambol, mi amor."
160-komieron-bevieron-i-pasaron.jpeg,160-komieron-bevieron-i-pasaron.ogg,"ron i pasaron una nochada"
260-ayer-no-me-fui-a-la-eskola.jpeg,260-Ayer-no-me-fui.ogg,"Ayer, no me FU a la eskola. Estava hazina."
116.-komen-de-las-buenas-komidas.jpeg,116.-komen-de-las-buenas-komidas.ogg,"Komen de las buenas komidas ke aparejan las madres."
276-es-estambol-en-invierno.jpeg,276-en-estambol-en-invierno.ogg,"En Estambol, en invierno, aze mas muncha luvya ke inyeve."
155-sara-i-moshe-estan-invitados-a-sus-kaza.jpeg,155-sara-i-moshe-estan-invitados-a-sus-kaza.ogg,"|invitados a sus kaza a komer."
48-la-primavera-es-la-mijor-sezon-del-anyo.jpeg,48-la-primavera-es-la-mijor-sezon-del-anyo.ogg,"La primavera es la mijor sezon del anyo."
122.-moshe-i-sara-se-van-a-lesones-de-tango.jpeg,122.-moshe-i-sara-se-van-a-lesones-de-tango.ogg,"Moshe i Sara se van a lesones de tango los Martes."
94-sara-esta-estudiando-ley.jpeg,94-sara-esta-estudiando-ley.ogg,"Sara esta estudiando ley; se va azer avokata."
50-se-estan-paseando-kon-las-bisikletas.jpeg,50-se-estan-paseando-kon-las-bisikletas.ogg,"Se estan paseando kon las bisikletas."
44-las-guertas-estan-yenas.jpeg,44-las-guertas-estan-yenas.ogg,"Las guertas estan yenas de rozas de mil kolores."
68-el-parti-va-ser-en-un-vapor.jpeg,68-el-parti-va-ser-en-un-vapor.ogg,"El parti va ser en un vapor."
